Fabricante,Data,Codigo,Produto,Qtd
CLIMAZON,06/10/2025,40009,Cond. 38EZVCA18M5 Inverter AI Ecomaster (R32) FRIO - Midea,60
CLIMAZON,06/10/2025,40008,Evap. 42EZVCA18M5 Inverter AI Ecomaster (R32) FRIO - Midea,60
CLIMAZON,06/10/2025,4661,Cond. Teto 38CCW060535MC FRIO 220V Trif. - Carrier,60
CLIMAZON,06/10/2025,4660,Evap. Teto 42ZQB60C5 Xperience - Carrier,60
CLIMAZON,06/10/2025,4662,Cond. Teto 38CCW060235MC FRIO 380V Trif. - Carrier,20
CLIMAZON,06/10/2025,4660,Evap. Teto 42ZQB60C5 Xperience - Carrier,20
SAMSUNG,06/10/2025,30396,Controle Remoto DVM WIFI MIM-H04N - MULTI/VRF - Samsung,1
SAMSUNG,06/10/2025,30224,Evap K71v AM024NN1DCH - Samsung,5
SAMSUNG,06/10/2025,30254,Evap K7360 AM030KN4DCH - Samsung,3
SAMSUNG,06/10/2025,30245,Evap K74v AM036NN4DCH - Samsung,4
SAMSUNG,06/10/2025,30128,Evap HW12 Wind Free AM036TNVDKH C/EEV - Samsung,25
SAMSUNG,06/10/2025,30046,Cond DVM 06HP AM060TXMDKH Q/F 220V - Samsung,1
SAMSUNG,06/10/2025,30047,Cond DVM 07HP AM070TXMDKH Q/F 220V - Samsung,3
SAMSUNG,06/10/2025,30050,Cond DVM 10HP AM100KXMDHH Q/F 380V - Samsung,1
SAMSUNG,06/10/2025,30207,Painel K71v (18~24) PC1BWFMAN - Wind Free - Samsung,5
SAMSUNG,06/10/2025,30211,Painel K71v PC1NWFMAN - Wind Free (9-12) - Samsung,8
SAMSUNG,06/10/2025,30206,Painel K7360 PC4NUNMAN CIRCLE - Samsung,1
DAIKIN,06/10/2025,5174,Evap. FTHP18S5VL EcoSwing Smart Gold R-32  18 Quente - Daikin,100
DAIKIN,06/10/2025,5162,Evap. FTHC24T5VL Full Inverter R-32  24 Quente - Daikin,100
DAIKIN,06/10/2025,5175,Cond. RHP18S5VL EcoSwing Smart Gold R-32  18 Quente - Daikin,100
DAIKIN,06/10/2025,5163,Cond. RHC24T5VL Full Inverter R-32  24 Quente - Daikin,100
TCL,06/10/2025,110005,Ar Cond. TAC-18CHTG2-INV TCL T-PRO 2.0  18 Quente,60
TCL,06/10/2025,110202,Ar Cond. TAC-55CSG/CT-INV TCL Cassete  55 Frio,40
CLIMAZON,08/10/2025,49064,Evap. 42BQA024510HC Built-in Versatile 220V M - Carrier,4
CLIMAZON,08/10/2025,49022,Kit Controle K42BC5LC Built-In s/ fio ,4
DAIKIN,07/10/2025,5242,Evap K7 FCQ36AVL Sky Air - QF - Daikin,15
DAIKIN,07/10/2025,5243,Cond K7 RZQ36AVL Sky Air - QF - Daikin,15
DAIKIN,07/10/2025,5246,Evap K7 FCQ48AVL Sky Air - QF - Daikin,12
DAIKIN,07/10/2025,5247,Cond K7 RZQ48AVL Sky Air - QF - Daikin,12
DAIKIN,08/10/2025,5150,Evap. FTHC09T5VL Full Inverter R-32  09 Quente - Daikin,20
